fecha;local;visitante;goles_local;goles_visita;torneo;ciudad;pais_x;neutral;difgol;gana_local;gana_visita;ranking_local;abrev_local;ranking_visitante;abrev_visitante;dif_ranking
8/8/1993;Bolivia;Uruguay;3;1;FIFA World Cup qualification;La Paz;Bolivia;0;2;1;0;59;BOL;22;URU;37
8/8/1993;Ecuador;Venezuela;5;0;FIFA World Cup qualification;Quito;Ecuador;0;5;1;0;35;ECU;94;VEN;-59
8/8/1993;Paraguay;Argentina;1;3;FIFA World Cup qualification;Asunción;Paraguay;0;-2;0;1;67;PAR;5;ARG;62
8/8/1993;Peru;Colombia;0;1;FIFA World Cup qualification;Lima;Peru;0;-1;0;1;70;PER;19;COL;51
15/8/1993;Bolivia;Ecuador;1;0;FIFA World Cup qualification;La Paz;Bolivia;0;1;1;0;59;BOL;35;ECU;24
15/8/1993;Colombia;Argentina;2;1;FIFA World Cup qualification;Barranquilla;Colombia;0;1;1;0;19;COL;5;ARG;14
15/8/1993;Paraguay;Peru;2;1;FIFA World Cup qualification;Asunción;Paraguay;0;1;1;0;67;PAR;70;PER;-3
15/8/1993;Uruguay;Brasil;1;1;FIFA World Cup qualification;Montevideo;Uruguay;0;0;0;0;22;URU;8;BRA;14
22/8/1993;Argentina;Peru;2;1;FIFA World Cup qualification;Buenos Aires;Argentina;0;1;1;0;5;ARG;70;PER;-65
22/8/1993;Bolivia;Venezuela;7;0;FIFA World Cup qualification;La Paz;Bolivia;0;7;1;0;59;BOL;94;VEN;-35
22/8/1993;Brasil;Ecuador;2;0;FIFA World Cup qualification;São Paulo;Brasil;0;2;1;0;8;BRA;35;ECU;-27
22/8/1993;Paraguay;Colombia;1;1;FIFA World Cup qualification;Asunción;Paraguay;0;0;0;0;67;PAR;19;COL;48
29/8/1993;Argentina;Paraguay;0;0;FIFA World Cup qualification;Buenos Aires;Argentina;0;0;0;0;5;ARG;67;PAR;-62
29/8/1993;Brasil;Bolivia;6;0;FIFA World Cup qualification;Recife;Brasil;0;6;1;0;8;BRA;59;BOL;-51
29/8/1993;Colombia;Peru;4;0;FIFA World Cup qualification;Barranquilla;Colombia;0;4;1;0;19;COL;70;PER;-51
29/8/1993;Uruguay;Venezuela;4;0;FIFA World Cup qualification;Montevideo;Uruguay;0;4;1;0;22;URU;94;VEN;-72
5/9/1993;Argentina;Colombia;0;5;FIFA World Cup qualification;Buenos Aires;Argentina;0;-5;0;1;5;ARG;19;COL;-14
5/9/1993;Brasil;Venezuela;4;0;FIFA World Cup qualification;Belo Horizonte;Brasil;0;4;1;0;8;BRA;94;VEN;-86
5/9/1993;Ecuador;Uruguay;0;1;FIFA World Cup qualification;Guayaquil;Ecuador;0;-1;0;1;35;ECU;22;URU;13
5/9/1993;Peru;Paraguay;2;2;FIFA World Cup qualification;Lima;Peru;0;0;0;0;70;PER;67;PAR;3
12/9/1993;Uruguay;Bolivia;2;1;FIFA World Cup qualification;Montevideo;Uruguay;0;1;1;0;22;URU;59;BOL;-37
12/9/1993;Venezuela;Ecuador;2;1;FIFA World Cup qualification;Puerto Ordaz;Venezuela;0;1;1;0;94;VEN;35;ECU;59
19/9/1993;Brasil;Uruguay;2;0;FIFA World Cup qualification;Rio de Janeiro;Brasil;0;2;1;0;8;BRA;22;URU;-14
19/9/1993;Ecuador;Bolivia;1;1;FIFA World Cup qualification;Guayaquil;Ecuador;0;0;0;0;35;ECU;59;BOL;-24
28/1/1994;Venezuela;Colombia;1;2;Friendly;Barinas;Venezuela;0;-1;0;1;93;VEN;21;COL;72
20/2/1994;Bolivia;Colombia;0;2;Friendly;Miami;USA;1;-2;0;1;55;BOL;20;COL;35
23/3/1994;Brasil;Argentina;2;0;Friendly;Recife;Brasil;0;2;1;0;2;BRA;8;ARG;-6
7/4/1994;Colombia;Bolivia;0;1;Friendly;Villavicencio;Colombia;0;-1;0;1;20;COL;56;BOL;-36
3/5/1994;Colombia;Peru;1;0;Friendly;Miami;USA;1;1;1;0;20;COL;72;PER;-52
18/5/1994;Chile;Argentina;3;3;Friendly;Santiago;Chile;0;0;0;0;40;CHI;6;ARG;34
25/5/1994;Chile;Peru;2;1;Friendly;Santiago;Chile;0;1;1;0;40;CHI;69;PER;-29
25/5/1994;Ecuador;Argentina;1;0;Friendly;Guayaquil;Ecuador;0;1;1;0;47;ECU;6;ARG;41
8/6/1994;Bolivia;Peru;0;0;Friendly;Santa Cruz;Bolivia;0;0;0;0;43;BOL;69;PER;-26
17/8/1994;Peru;Ecuador;2;0;Friendly;Lima;Peru;0;2;1;0;72;PER;46;ECU;26
21/9/1994;Chile;Bolivia;1;2;Friendly;Santiago;Chile;0;-1;0;1;43;CHI;44;BOL;-1
21/9/1994;Ecuador;Peru;0;0;Friendly;Machala;Ecuador;0;0;0;0;53;ECU;65;PER;-12
19/10/1994;Peru;Uruguay;0;1;Friendly;Lima;Peru;0;-1;0;1;65;PER;36;URU;29
16/11/1994;Chile;Argentina;0;3;Friendly;Santiago;Chile;0;-3;0;1;46;CHI;9;ARG;37
8/1/1995;Japon;Argentina;1;5;Confederations Cup;Riyadh;Saudi Arabia;1;-4;0;1;36;JPN;10;ARG;26
22/3/1995;Colombia;Uruguay;2;1;Friendly;Medellín;Colombia;0;1;1;0;16;COL;36;URU;-20
3/4/1995;Bolivia;Venezuela;0;0;Friendly;Sucre;Bolivia;0;0;0;0;48;BOL;121;VEN;-73
5/4/1995;Uruguay;Peru;1;0;Friendly;Montevideo;Uruguay;0;1;1;0;36;URU;76;PER;-40
19/4/1995;Peru;Chile;6;0;Friendly;Lima;Peru;0;6;1;0;73;PER;43;CHI;30
14/5/1995;Bolivia;Paraguay;1;1;Copa Paz del Chaco;Cochabamba;Bolivia;0;0;0;0;55;BOL;101;PAR;-46
28/5/1995;Japon;Ecuador;3;0;Kirin Cup;Tokyo;Japon;0;3;1;0;35;JPN;62;ECU;-27
31/5/1995;Argentina;Peru;1;0;Friendly;Córdoba;Argentina;0;1;1;0;8;ARG;69;PER;-61
6/6/1995;Brasil;Japon;3;0;Friendly;Liverpool;England;1;3;1;0;1;BRA;35;JPN;-34
9/6/1995;Paraguay;Bolivia;0;0;Copa Paz del Chaco;Asunción;Paraguay;0;0;0;0;103;PAR;58;BOL;45
14/6/1995;Argentina;Paraguay;2;1;Friendly;Rosario;Argentina;0;1;1;0;10;ARG;100;PAR;-90
18/6/1995;Venezuela;Bolivia;1;3;Friendly;Valera;Venezuela;0;-2;0;1;124;VEN;62;BOL;62
19/6/1995;Chile;Paraguay;0;1;Friendly;La Serena;Chile;0;-1;0;1;42;CHI;100;PAR;-58
30/6/1995;Paraguay;Ecuador;1;0;Friendly;Asunción;Paraguay;0;1;1;0;100;PAR;76;ECU;24
1/7/1995;Peru;Bolivia;4;1;Friendly;Lima;Peru;0;3;1;0;73;PER;62;BOL;11
5/7/1995;Uruguay;Venezuela;4;1;Copa América;Montevideo;Uruguay;0;3;1;0;36;URU;124;VEN;-88
7/7/1995;Brasil;Ecuador;1;0;Copa América;Rivera;Uruguay;1;1;1;0;1;BRA;76;ECU;-75
7/7/1995;Colombia;Peru;1;1;Copa América;Rivera;Uruguay;1;0;0;0;23;COL;73;PER;-50
8/7/1995;Argentina;Bolivia;2;1;Copa América;Paysandú;Uruguay;1;1;1;0;10;ARG;62;BOL;-52
9/7/1995;Uruguay;Paraguay;1;0;Copa América;Montevideo;Uruguay;0;1;1;0;36;URU;100;PAR;-64
10/7/1995;Brasil;Peru;2;0;Copa América;Rivera;Uruguay;1;2;1;0;1;BRA;73;PER;-72
10/7/1995;Colombia;Ecuador;1;0;Copa América;Rivera;Uruguay;1;1;1;0;23;COL;76;ECU;-53
11/7/1995;Argentina;Chile;4;0;Copa América;Paysandú;Uruguay;1;4;1;0;10;ARG;42;CHI;-32
12/7/1995;Paraguay;Venezuela;3;2;Copa América;Maldonado;Uruguay;1;1;1;0;100;PAR;124;VEN;-24
13/7/1995;Brasil;Colombia;3;0;Copa América;Rivera;Uruguay;1;3;1;0;1;BRA;23;COL;-22
13/7/1995;Peru;Ecuador;1;2;Copa América;Rivera;Uruguay;1;-1;0;1;73;PER;76;ECU;-3
14/7/1995;Chile;Bolivia;2;2;Copa América;Paysandú;Uruguay;1;0;0;0;42;CHI;62;BOL;-20
16/7/1995;Paraguay;Colombia;1;1;Copa América;Montevideo;Uruguay;1;0;0;0;100;PAR;23;COL;77
16/7/1995;Uruguay;Bolivia;2;1;Copa América;Montevideo;Uruguay;0;1;1;0;36;URU;62;BOL;-26
17/7/1995;Brasil;Argentina;2;2;Copa América;Rivera;Uruguay;1;0;0;0;1;BRA;10;ARG;-9
19/7/1995;Uruguay;Colombia;2;0;Copa América;Montevideo;Uruguay;0;2;1;0;36;URU;23;COL;13
23/7/1995;Uruguay;Brasil;1;1;Copa América;Montevideo;Uruguay;0;0;0;0;36;URU;1;BRA;35
9/8/1995;Japon;Brasil;1;5;Friendly;Tokyo;Japon;0;-4;0;1;36;JPN;1;BRA;35
20/9/1995;Japon;Paraguay;1;2;Friendly;Tokyo;Japon;0;-1;0;1;41;JPN;81;PAR;-40
11/10/1995;Argentina;Colombia;0;0;Friendly;Buenos Aires;Argentina;0;0;0;0;9;ARG;15;COL;-6
11/10/1995;Brasil;Uruguay;2;0;Friendly;Salvador;Brasil;0;2;1;0;1;BRA;36;URU;-35
25/10/1995;Bolivia;Ecuador;2;2;Friendly;Santa Cruz;Bolivia;0;0;0;0;50;BOL;61;ECU;-11
8/11/1995;Argentina;Brasil;0;1;Friendly;Buenos Aires;Argentina;0;-1;0;1;7;ARG;1;BRA;6
20/12/1995;Brasil;Colombia;3;1;Friendly;Manaus;Brasil;0;2;1;0;1;BRA;15;COL;-14
21/12/1995;Argentina;Venezuela;6;0;Friendly;Mendoza;Argentina;0;6;1;0;7;ARG;127;VEN;-120
2/2/1996;Venezuela;Ecuador;0;1;Friendly;Caracas;Venezuela;0;-1;0;1;112;VEN;57;ECU;55
4/2/1996;Bolivia;Chile;1;1;Friendly;Cochabamba;Bolivia;0;0;0;0;56;BOL;39;CHI;17
11/2/1996;Peru;Bolivia;1;3;Friendly;Lima;Peru;0;-2;0;1;67;PER;56;BOL;11
14/2/1996;Bolivia;Paraguay;4;1;Friendly;Sucre;Bolivia;0;3;1;0;56;BOL;65;PAR;-9
14/2/1996;Chile;Peru;4;0;Friendly;Coquimbo;Chile;0;4;1;0;39;CHI;67;PER;-28
18/2/1996;Qatar;Ecuador;1;1;Friendly;Doha;Qatar;0;0;0;0;84;QAT;57;ECU;27
25/2/1996;Qatar;Ecuador;1;2;Friendly;Doha;Qatar;0;-1;0;1;85;QAT;54;ECU;31
7/3/1996;Bolivia;Peru;2;0;Friendly;Santa Cruz;Bolivia;0;2;1;0;40;BOL;70;PER;-30
28/3/1996;Colombia;Bolivia;4;1;Friendly;Medellín;Colombia;0;3;1;0;19;COL;40;BOL;-21
24/4/1996;Argentina;Bolivia;3;1;FIFA World Cup qualification;Buenos Aires;Argentina;0;2;1;0;8;ARG;36;BOL;-28
24/4/1996;Colombia;Paraguay;1;0;FIFA World Cup qualification;Barranquilla;Colombia;0;1;1;0;9;COL;67;PAR;-58
24/4/1996;Ecuador;Peru;4;1;FIFA World Cup qualification;Guayaquil;Ecuador;0;3;1;0;41;ECU;78;PER;-37
24/4/1996;Venezuela;Uruguay;0;2;FIFA World Cup qualification;Caracas;Venezuela;0;-2;0;1;116;VEN;35;URU;81
26/5/1996;Chile;Bolivia;2;0;Friendly;Santiago;Chile;0;2;1;0;29;CHI;37;BOL;-8
2/6/1996;Ecuador;Argentina;2;0;FIFA World Cup qualification;Quito;Ecuador;0;2;1;0;38;ECU;8;ARG;30
2/6/1996;Peru;Colombia;1;1;FIFA World Cup qualification;Lima;Peru;0;0;0;0;77;PER;9;COL;68
2/6/1996;Uruguay;Paraguay;0;2;FIFA World Cup qualification;Montevideo;Uruguay;0;-2;0;1;32;URU;62;PAR;-30
2/6/1996;Venezuela;Chile;1;1;FIFA World Cup qualification;Barinas;Venezuela;0;0;0;0;119;VEN;29;CHI;90
6/7/1996;Chile;Ecuador;4;1;FIFA World Cup qualification;Santiago;Chile;0;3;1;0;29;CHI;32;ECU;-3
7/7/1996;Bolivia;Venezuela;6;1;FIFA World Cup qualification;La Paz;Bolivia;0;5;1;0;36;BOL;125;VEN;-89
7/7/1996;Colombia;Uruguay;3;1;FIFA World Cup qualification;Barranquilla;Colombia;0;2;1;0;12;COL;38;URU;-26
7/7/1996;Peru;Argentina;0;0;FIFA World Cup qualification;Lima;Peru;0;0;0;0;78;PER;15;ARG;63
26/7/1996;Paraguay;Bolivia;2;0;Friendly;Asunción;Paraguay;0;2;1;0;63;PAR;36;BOL;27
25/8/1996;Japon;Uruguay;5;3;Friendly;Osaka;Japon;0;2;1;0;25;JPN;38;URU;-13
1/9/1996;Argentina;Paraguay;1;1;FIFA World Cup qualification;Buenos Aires;Argentina;0;0;0;0;24;ARG;46;PAR;-22
1/9/1996;Bolivia;Peru;0;0;FIFA World Cup qualification;La Paz;Bolivia;0;0;0;0;35;BOL;66;PER;-31
1/9/1996;Colombia;Chile;4;1;FIFA World Cup qualification;Barranquilla;Colombia;0;3;1;0;11;COL;21;CHI;-10
1/9/1996;Ecuador;Venezuela;1;0;FIFA World Cup qualification;Quito;Ecuador;0;1;1;0;32;ECU;118;VEN;-86
8/10/1996;Uruguay;Bolivia;1;0;FIFA World Cup qualification;Montevideo;Uruguay;0;1;1;0;53;URU;36;BOL;17
9/10/1996;Ecuador;Colombia;0;1;FIFA World Cup qualification;Quito;Ecuador;0;-1;0;1;31;ECU;11;COL;20
9/10/1996;Paraguay;Chile;2;1;FIFA World Cup qualification;Asunción;Paraguay;0;1;1;0;45;PAR;26;CHI;19
9/10/1996;Venezuela;Argentina;2;5;FIFA World Cup qualification;San Cristóbal;Venezuela;0;-3;0;1;118;VEN;22;ARG;96
10/11/1996;Bolivia;Colombia;2;2;FIFA World Cup qualification;La Paz;Bolivia;0;0;0;0;41;BOL;8;COL;33
10/11/1996;Paraguay;Ecuador;1;0;FIFA World Cup qualification;Asunción;Paraguay;0;1;1;0;44;PAR;32;ECU;12
10/11/1996;Peru;Venezuela;4;1;FIFA World Cup qualification;Lima;Peru;0;3;1;0;57;PER;106;VEN;-49
12/11/1996;Chile;Uruguay;1;0;FIFA World Cup qualification;Santiago;Chile;0;1;1;0;26;CHI;50;URU;-24
15/12/1996;Argentina;Chile;1;1;FIFA World Cup qualification;Buenos Aires;Argentina;0;0;0;0;19;ARG;26;CHI;-7
15/12/1996;Bolivia;Paraguay;0;0;FIFA World Cup qualification;La Paz;Bolivia;0;0;0;0;41;BOL;39;PAR;2
15/12/1996;Uruguay;Peru;2;0;FIFA World Cup qualification;Montevideo;Uruguay;0;2;1;0;54;URU;53;PER;1
15/12/1996;Venezuela;Colombia;0;2;FIFA World Cup qualification;San Cristóbal;Venezuela;0;-2;0;1;110;VEN;7;COL;103
12/1/1997;Bolivia;Ecuador;2;0;FIFA World Cup qualification;La Paz;Bolivia;0;2;1;0;39;BOL;33;ECU;6
12/1/1997;Peru;Chile;2;1;FIFA World Cup qualification;Lima;Peru;0;1;1;0;54;PER;26;CHI;28
